Unnamed: 0,Latitude,Longitude,School Name,School Address,School Rating,zipcode
760,30.322225,-97.76824599999999,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX  78731",9.0,78613
761,30.383664000000003,-97.82950799999999,River Place Elementary School,"6500 Sitio Del Rio Boulevard, Austin, TX  78730",8.0,78758
763,30.200538,-97.748728,Rodriguez Elementary School,"4400 Franklin Park Drive, Austin, TX  78744",2.0,78748
764,30.318775,-97.749575,Rosedale,(512) 414-3617,5.0,78759
769,30.399496999999997,-97.649793,Dessau Elementary School,"1501 Dessau Ridge Lane, Austin, TX  78754",5.0,78759
772,30.280286,-97.804927,Eanes Elementary School,"4101 Bee Cave Road, West Lake Hills, TX  78746",10.0,78653
773,30.13327,-97.566386,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4.0,78756
774,30.316990000000004,-97.805645,Bridge Point El,"6401 Cedar Street, Austin, TX  78746",10.0,78613
775,30.250843,-97.917375,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX  78735",6.0,78734
776,30.468945,-97.61045,Highland Park Elementary School,"528 Kingston Lacy Boulevard, Pflugerville, TX  78660",9.0,78704
777,30.177809000000003,-97.61963399999999,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4.0,78749
778,30.226872999999998,-97.899322,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9.0,78734
779,30.382934999999996,-97.908485,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10.0,78749
780,30.42612,-97.682209,Northwest Elementary School,"14014 Thermal Drive, Austin, TX  78728",3.0,78756
781,30.371665000000004,-97.718034,Wooldridge Elementary School,"1412 Norseman Terrace, Austin, TX  78758",5.0,78750
782,30.234765999999997,-97.70173299999999,Allison Elementary School,"515 Vargas Road, Austin, TX  78741",7.0,78734
783,30.083059999999996,-97.70013900000001,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78753
784,30.398958,-97.931687,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78738
786,30.225519,-97.836393,Patton Elementary School,"6001 Westcreek Drive, Austin, TX  78749",6.0,78745
787,30.490667,-97.81928,Ada Mae Faubion Elementary School,"1209 Cypress Creek Road, Cedar Park, TX  78613",6.0,78749
788,30.305807,-97.853504,Valley View Elementary School,"360 Loop Court, Austin, TX  78746",9.0,78749
789,30.276365999999996,-97.461011,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4.0,78750
790,30.069802000000003,-97.730223,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78734
791,30.286236,-97.839262,Forest Trail Elementary School,"1203 South Capital of Texas Highway, West Lake Hills, TX  78746",10.0,78750
792,30.275244,-97.822014,Forest Trail Elementary School,"1203 South Capital of Texas Highway, West Lake Hills, TX  78746",10.0,78664
793,30.493165,-97.580887,Dearing Elementary School,"4301 Gattis School Rd, Pflugerville, TX 78660",5.0,78613
794,30.123626,-97.597499,Popham Elementary School,"7014 Elroy Road, Austin, TX  78617",3.0,78613
796,30.344594,-97.52972,Presidential Meadows Elementary School,"13252 George Bush Street, Manor, TX  78653",2.0,78681
797,30.294586,-97.509253,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4.0,78613
798,30.357042,-97.674242,Graham Elementary School,"11211 Tom Adams Drive, Austin, TX  78753",8.0,78641
800,30.403327,-97.7837,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX  78759",10.0,78759
801,30.544022,-97.705749,Old Town Elementary School,"2200 Chaparral Drive, Round Rock, TX  78681",7.0,78759
802,30.540893,-97.649805,Double File Trail Elementary School,"2400 Chandler Creek Boulevard, Round Rock, TX  78665",5.0,78738
803,30.267989,-97.81551,Cedar Creek Elementary School,"3301 Pinnacle Road, Austin, TX  78746",9.0,78734
804,30.123178000000003,-97.814095,Menchaca Elementary School,"12120 Manchaca Rd, Austin, TX 78748",5.0,78749
805,30.365914,-97.851832,River Place Elementary School,"6500 Sitio Del Rio Boulevard, Austin, TX  78730",8.0,78750
806,30.306859999999997,-97.858372,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78738
807,30.455890999999998,-97.787814,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX  78729",6.0,78738
808,30.459770000000002,-97.647359,Windermere Primary School,"429 Grand Ave Pkwy, Pflugerville, TX 78660",4.0,78738
810,30.251040000000003,-97.932358,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78756
811,30.540175,-97.806732,Block House Creek Elementary School,"401 Creek Run Drive, Leander, TX  78641",7.0,78748
812,30.516231,-97.841635,Lois F Giddens Elementary School,"1500 Timberwood Drive, Cedar Park, TX  78613",4.0,78617
813,30.510710999999997,-97.72381800000001,Fern Bluff Elementary School,"17815 Park Valley Drive, Round Rock, TX  78681",10.0,78756
815,30.315672999999997,-97.669789,Winn Elementary School,"3500 Susquehanna Lane, Austin, TX  78723",3.0,78620
818,30.360685999999998,-97.473507,Presidential Meadows Elementary School,"13252 George Bush Street, Manor, TX  78653",2.0,78734
819,30.296235,-97.51887099999999,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4.0,78750
820,30.292075,-97.75386999999999,Bryker Woods Elementary School,"3309 Kerbey Lane, Austin, TX  78703",9.0,78752
821,30.174246000000004,-97.591103,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4.0,78753
822,30.502171,-97.76292,Patsy Sommer Elementary School,"16200 Avery Ranch Boulevard, Austin, TX  78717",10.0,78660
823,30.250696,-97.997745,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78749
824,30.140846999999997,-97.80887,Menchaca Elementary School,"12120 Manchaca Rd, Austin, TX 78748",5.0,78749
826,30.334189000000002,-97.953816,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78749
827,30.508315999999997,-97.748137,Patsy Sommer Elementary School,"16200 Avery Ranch Boulevard, Austin, TX  78717",10.0,78745
828,30.32377,-97.786806,Bridge Point El,"6401 Cedar Street, Austin, TX  78746",10.0,78758
830,30.161547,-97.810186,Casey Elementary School,"9400 Texas Oaks Drive, Austin, TX  78748",4.0,78617
832,30.373995,-97.973943,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78664
833,30.084477000000003,-97.662339,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78750
834,30.309781,-97.656112,Winn Elementary School,"3500 Susquehanna Lane, Austin, TX  78723",3.0,78734
836,30.302413,-97.958483,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78750
837,30.159549,-97.78028,Blazier Elementary School,"8601 Nuckols Crossing Road, Austin, TX  78744",7.0,78681
838,30.365361,-97.96065899999999,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78734
840,30.275986,-97.779289,Mathews Elementary School,"906 West Lynn Street, Austin, TX  78703",8.0,78617
844,30.384646000000004,-97.601682,Bluebonnet Trail Elementary School,"11316 Farmhaven Road, Austin, TX  78754",6.0,78750
847,30.311891999999997,-97.518532,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4.0,78750
848,30.396646999999998,-97.76585899999999,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX  78759",10.0,78734
849,30.41318,-97.569351,Pflugerville Elementary School,"701 Immanuel Road, Pflugerville, TX  78660",7.0,78745
850,30.067202,-97.757129,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78749
852,30.273992,-97.85465500000001,Forest Trail Elementary School,"1203 South Capital of Texas Highway, West Lake Hills, TX  78746",10.0,78745
853,30.190555,-97.842564,Cowan Elementary School,"2817 Kentish Drive, Austin, TX  78748",9.0,78612
854,30.3778,-97.5597,Manor Elementary School,"12904 Gregg Manor Road, Manor, TX  78653",4.0,78756
856,30.200013000000002,-97.553605,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2.0,78749
857,30.246721,-97.739947,Texas School For The Deaf,"1102 South Congress Avenue, Austin, TX  78704",1.0,78724
858,30.284201,-97.876874,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78640
859,30.368321999999996,-97.941526,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78749
860,30.201115,-97.693935,Smith Elementary School,"4209 Smith School Road, Austin, TX  78744",5.0,78660
861,30.082414,-97.658839,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78745
862,30.453952,-97.81239000000001,Anderson Mill Elementary School,"10610 Salt Mill Hollow, Austin, TX  78750",7.0,78734
863,30.322740999999997,-97.843808,Valley View Elementary School,"360 Loop Court, Austin, TX  78746",9.0,78738
867,30.366494,-97.95456800000001,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78750
868,30.368405,-97.748202,Hill Elementary School,"8601 Tallwood Drive, Austin, TX  78759",8.0,78613
869,30.214879999999997,-97.570976,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2.0,78641
870,30.339769,-97.910653,River Ridge Elementary School,"12900 Tierra Grande Trail, Austin, TX  78732",10.0,78749
871,30.522506,-97.847025,Lois F Giddens Elementary School,"1500 Timberwood Drive, Cedar Park, TX  78613",4.0,78750
872,30.285127000000003,-97.752039,Mathews Elementary School,"906 West Lynn Street, Austin, TX  78703",8.0,78748
874,30.132987,-97.891788,Carpenter Hill Elementary School,"4410 RR 967, Buda, TX  78610",7.0,78634
875,30.228316999999997,-97.991434,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8.0,78617
876,30.293678999999997,-97.96312900000001,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
879,30.418279,-97.900616,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX  78726",6.0,78756
880,30.318845,-97.85049000000001,Valley View Elementary School,"360 Loop Court, Austin, TX  78746",9.0,78749
881,30.423509000000003,-97.62021800000001,Pflugerville Elementary School,"701 Immanuel Road, Pflugerville, TX  78660",7.0,78756
883,30.439813,-97.64922299999999,Springhill Elementary School,"600 South Heatherwilde Boulevard, Pflugerville, TX  78660",5.0,78745
884,30.430615999999997,-97.71578000000001,Summitt Elementary School,"12207 Brigadoon Lane, Austin, TX  78727",8.0,78756
885,30.012392,-97.83845,Science Hall Elementary School,"1510 Bebee Road, Kyle, TX  78640",3.0,78745
886,30.458989000000003,-97.648107,Windermere Primary School,"429 Grand Ave Pkwy, Pflugerville, TX 78660",4.0,78681
888,30.437108000000002,-97.820068,Canyon Creek Elementary School,"10210 Ember Glen Drive, Austin, TX  78726",10.0,78703
889,30.50017,-97.602237,Dearing Elementary School,"4301 Gattis School Rd, Pflugerville, TX 78660",5.0,78734
890,30.465407,-97.765548,Hornsby-Dunlap Elementary School,"13901 North FM 620, Austin, TX  78717",3.0,78617
892,30.389034999999996,-97.798618,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX  78759",10.0,78748
893,30.309872,-97.79719399999999,Casis Elementary School,"2710 Exposition Boulevard, Austin, TX  78703",10.0,78738
895,30.292787,-97.80697099999999,Eanes Elementary School,"4101 Bee Cave Road, West Lake Hills, TX  78746",10.0,78753
896,30.298379999999998,-97.862884,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78752
897,30.191259999999996,-97.74382800000001,Widen Elementary School,"5605 Nuckols Crossing Road, Austin, TX  78744",1.0,78749
898,30.463121,-97.642628,Windermere Elementary School,"1101 Picadilly Drive, Pflugerville, TX  78660",7.0,78738
899,30.106859999999998,-97.748721,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78758
900,30.260029,-97.776237,Zilker Elementary School,"1900 Bluebonnet Lane, Austin, TX  78704",7.0,78758
902,30.265621000000003,-97.690605,Ortega Elementary School,"1135 Garland Avenue, Austin, TX  78721",5.0,78749
903,30.410578000000005,-97.76617399999999,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8.0,78734
904,30.362067,-97.999821,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78750
905,30.293765999999998,-97.62763000000001,Overton Elementary School,"7201 Colony Loop Drive, Austin, TX  78724",4.0,78738
906,30.244135999999997,-97.900865,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX  78735",6.0,78748
907,30.339805,-97.80931,Bridge Point El,"6401 Cedar Street, Austin, TX  78746",10.0,78749
909,30.538428999999997,-97.856247,William J Winkley Elementary School,"2100 Pow Wow, Leander, TX  78641",7.0,78729
910,30.150283,-97.73847099999999,Palm Elementary School,"7601 Dixie Drive, Austin, TX  78744",6.0,78724
911,30.513339000000002,-97.589926,Dearing Elementary School,"4301 Gattis School Rd, Pflugerville, TX 78660",5.0,78660
913,30.174811,-97.813559,Casey Elementary School,"9400 Texas Oaks Drive, Austin, TX  78748",4.0,78750
914,30.177284000000004,-97.701952,Smith Elementary School,"4209 Smith School Road, Austin, TX  78744",5.0,78750
915,30.478115000000003,-97.55721899999999,Rowe Lane Elementary School,"3112 Speidel Drive, Pflugerville, TX  78660",9.0,78734
916,30.311861999999998,-97.870637,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78704
917,30.232639000000002,-97.93922099999999,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78613
918,30.393841,-97.61620400000001,Delco Primary School,"12900-A Dessau Rd, Austin, TX 78754",4.0,78704
919,30.286392,-97.887763,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78749
920,30.549644,-97.66643,Union Hill Elementary School,"1511 Gulf Way, Round Rock, TX  78665",5.0,78750
923,30.177514000000002,-97.84007700000001,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4.0,78749
924,30.524671,-97.795581,Ronald Reagan Elementary School,"1700 East Park Street, Cedar Park, TX  78613",8.0,78613
925,30.521171000000002,-97.850679,C. C. Mason Elementary School (Col. Charles Clayborn),"1501 Lakeline Boulevard, Cedar Park, TX  78613",4.0,78738
927,30.279557,-97.865971,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78664
928,30.363009,-97.46807199999999,Neidig Elementary School,"13700 County Line Road, Elgin, TX  78621",2.0,78681
929,30.396365000000003,-97.69460600000001,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX  78758",7.0,78748
930,30.168345000000002,-97.846152,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4.0,78738
932,30.328657,-97.760622,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX  78731",9.0,78753
933,30.392652000000002,-97.881063,Steiner Ranch Elementary School,"4001 North Quinlan Park Road, Austin, TX  78732",9.0,78738
935,30.136574,-97.57403599999999,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4.0,78745
936,30.309278000000003,-97.83536,Valley View Elementary School,"360 Loop Court, Austin, TX  78746",9.0,78750
937,30.37528,-97.55908199999999,Manor Elementary School,"12904 Gregg Manor Road, Manor, TX  78653",4.0,78745
938,30.208195,-97.848386,Boone Elementary School,"8101 Croftwood Drive, Austin, TX  78749",8.0,78753
939,30.422441999999997,-97.640613,Wieland Elementary School,"900 Tudor House Road, Pflugerville, TX  78660",4.0,78704
940,30.301244,-97.835973,Valley View Elementary School,"360 Loop Court, Austin, TX  78746",9.0,78749
941,30.408640000000002,-97.913478,Steiner Ranch Elementary School,"4001 North Quinlan Park Road, Austin, TX  78732",9.0,78758
942,30.058936,-97.680894,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78750
943,30.172802,-97.87432700000001,Kiker Elementary School,"5913 La Crosse Avenue, Austin, TX  78739",10.0,78745
944,30.4017,-97.600679,Pflugerville Elementary School,"701 Immanuel Road, Pflugerville, TX  78660",7.0,78640
945,30.471315,-97.639687,Windermere Primary School,"429 Grand Ave Pkwy, Pflugerville, TX 78660",4.0,78729
946,30.172883000000002,-97.543529,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4.0,78660
947,30.103854,-97.673028,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78729
948,30.170475,-97.831928,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4.0,78749
949,30.447297999999996,-97.90557199999999,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX  78726",6.0,78641
950,30.472438,-97.589613,Murchison Elementary School,"2215 Kelly Lane, Pflugerville, TX  78660",8.0,78750
951,30.199296999999998,-97.742478,Rodriguez Elementary School,"4400 Franklin Park Drive, Austin, TX  78744",2.0,78749
953,30.384052,-97.756715,Hill Elementary School,"8601 Tallwood Drive, Austin, TX  78759",8.0,78749
954,30.298191,-97.891887,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78703
955,30.486340000000002,-97.901771,Deer Creek Elementary School,"2420 Zeppelin Drive, Cedar Park, TX  78613",9.0,78734
956,30.328302,-97.744701,Rosedale,(512) 414-3617,5.0,78745
958,30.291915999999997,-97.88340500000001,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78750
960,30.369269,-97.988523,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78748
961,30.263773999999998,-97.56855999999999,Joseph Gilbert Elementary School,"5412 Gilbert Road, Austin, TX  78724",4.0,78664
962,30.33966,-97.850086,Bridge Point El,"6401 Cedar Street, Austin, TX  78746",10.0,78759
963,30.306590999999997,-97.860487,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78749
964,30.254794,-97.829562,Cedar Creek Elementary School,"3301 Pinnacle Road, Austin, TX  78746",9.0,78660
965,30.236803000000002,-97.807624,Sunset Valley Elementary School,"3000 Jones Road, Sunset Valley, TX  78745",5.0,78748
967,30.492666999999997,-97.84455799999999,Westside Elementary School,"300 Ryan Jordan Lane, Cedar Park, TX  78613",8.0,78613
968,30.359234000000004,-97.543432,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5.0,78750
969,30.528505,-97.65064100000001,Double File Trail Elementary School,"2400 Chandler Creek Boulevard, Round Rock, TX  78665",5.0,78750
970,30.30513,-97.845761,Valley View Elementary School,"360 Loop Court, Austin, TX  78746",9.0,78653
971,30.344447,-97.978652,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78681
972,30.388710999999997,-97.99820799999999,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78750
973,30.261932,-97.662189,Norman Elementary School,"4001 Tannehill Lane, Austin, TX  78721",6.0,78729
974,30.377104,-97.970109,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78759
976,30.350434000000003,-97.88703000000001,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10.0,78660
977,30.303021,-97.95688,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78748
978,30.300237,-97.782278,Casis Elementary School,"2710 Exposition Boulevard, Austin, TX  78703",10.0,78634
979,30.365046000000003,-97.83706600000001,River Place Elementary School,"6500 Sitio Del Rio Boulevard, Austin, TX  78730",8.0,78753
980,30.294324,-97.87367900000001,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78750
981,30.455213,-97.616218,Brookhollow Elementary School,"1200 North Railroad Avenue, Pflugerville, TX  78660",5.0,78724
984,30.503079999999997,-97.62168,Blackland Prairie Elementary School,"2105 Via Sonoma Trail, Round Rock, TX  78665",9.0,78758
985,30.239275,-97.981226,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8.0,78748
986,30.328605,-97.925943,River Ridge Elementary School,"12900 Tierra Grande Trail, Austin, TX  78732",10.0,78752
989,30.426164,-97.903098,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX  78726",6.0,78745
991,30.254845,-97.924439,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX  78735",6.0,78753
993,30.180177,-97.91609100000001,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8.0,78746
995,30.069273,-97.751754,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78748
996,30.190859999999997,-97.899672,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78660
998,30.430999,-97.83594699999999,Canyon Creek Elementary School,"10210 Ember Glen Drive, Austin, TX  78726",10.0,78681
999,30.355796999999995,-97.966404,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78729
1000,30.512849,-97.66220200000001,Neysa Callison Elementary School,"1750 Thompson Trail, Round Rock, TX  78664",4.0,78664
1001,30.185246999999997,-97.789176,Williams Elementary School,"500 Mairo Street, Austin, TX  78748",4.0,78745
1002,30.157513,-97.8581,Baranoff Elementary School,"12009 Buckingham Gate Road, Austin, TX  78748",9.0,78749
1003,30.240576,-97.89686,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX  78735",6.0,78749
1004,30.302821999999995,-97.951053,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
1005,30.336052000000002,-97.732854,Brentwood Elementary School,"6700 Arroyo Seco, Austin, TX  78757",7.0,78756
1006,30.425082,-97.740217,Davis Elementary School,"5214 Duval Road, Austin, TX  78727",6.0,78729
1007,30.224031,-97.914149,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78749
1009,30.369108,-97.82438499999999,River Place Elementary School,"6500 Sitio Del Rio Boulevard, Austin, TX  78730",8.0,78750
1011,30.16323,-97.82401999999999,Casey Elementary School,"9400 Texas Oaks Drive, Austin, TX  78748",4.0,78748
1012,30.357771999999997,-97.98758000000001,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78738
1015,30.122483000000003,-97.831521,Menchaca Elementary School,"12120 Manchaca Rd, Austin, TX 78748",5.0,78748
1016,30.373454,-97.789865,Doss Elementary School,"7005 Northledge Drive, Austin, TX  78731",9.0,78759
1017,30.478792,-97.65727700000001,Caldwell Elementary School,"1718 Picadilly Drive, Round Rock, TX  78664",6.0,78664
1018,30.348232,-97.76425400000001,Doss Elementary School,"7005 Northledge Drive, Austin, TX  78731",9.0,78759
1019,30.317396999999996,-97.696999,Harris Elementary School,"1711 Wheless Lane, Austin, TX  78723",4.0,78752
1020,30.208007000000002,-97.764852,Houston Elementary School,"5409 Ponciana Drive, Austin, TX  78744",3.0,78745
1023,30.440661,-97.820133,Canyon Creek Elementary School,"10210 Ember Glen Drive, Austin, TX  78726",10.0,78750
1024,30.241613,-97.978636,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8.0,78738
1026,30.419766999999997,-97.732424,Davis Elementary School,"5214 Duval Road, Austin, TX  78727",6.0,78729
1027,30.190376,-97.54646600000001,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2.0,78617
1030,30.237213,-97.775862,Galindo Elementary School,"3800 South 2nd Street, Austin, TX  78704",3.0,78704
1032,30.375010999999997,-97.879601,Steiner Ranch Elementary School,"4001 North Quinlan Park Road, Austin, TX  78732",9.0,78750
1034,30.421985,-97.726478,Summitt Elementary School,"12207 Brigadoon Lane, Austin, TX  78727",8.0,78729
1035,30.257423,-97.782515,Barton Hills Elementary School,"2108 Barton Hills Drive, Austin, TX  78704",9.0,78703
1037,30.427722999999997,-97.773145,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8.0,78750
1038,30.453042,-97.795069,Anderson Mill Elementary School,"10610 Salt Mill Hollow, Austin, TX  78750",7.0,78750
1040,30.225012,-97.897149,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9.0,78749
1041,30.514465,-97.77545500000001,Ronald Reagan Elementary School,"1700 East Park Street, Cedar Park, TX  78613",8.0,78613
1042,30.377159999999996,-97.785584,Doss Elementary School,"7005 Northledge Drive, Austin, TX  78731",9.0,78759
1043,30.165899,-97.79679300000001,Williams Elementary School,"500 Mairo Street, Austin, TX  78748",4.0,78748
1046,30.220434,-97.82127,Sunset Valley Elementary School,"3000 Jones Road, Sunset Valley, TX  78745",5.0,78745
1047,30.513637,-97.647648,Neysa Callison Elementary School,"1750 Thompson Trail, Round Rock, TX  78664",4.0,78664
1049,30.297633,-97.645204,Jordan Elementary School,"6711 Johnny Morris Road, Austin, TX  78724",5.0,78724
1052,30.188222999999997,-97.787077,Williams Elementary School,"500 Mairo Street, Austin, TX  78748",4.0,78745
1053,30.181251,-97.83410699999999,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4.0,78749
1055,30.21053,-97.548948,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2.0,78617
1056,30.336592,-97.954861,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
1057,30.339558,-97.90979499999999,River Ridge Elementary School,"12900 Tierra Grande Trail, Austin, TX  78732",10.0,78738
1058,30.473267,-97.622899,Highland Park Elementary School,"528 Kingston Lacy Boulevard, Pflugerville, TX  78660",9.0,78664
1060,30.218184,-97.909094,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78749
1061,30.476854,-97.63417700000001,Windermere Elementary School,"1101 Picadilly Drive, Pflugerville, TX  78660",7.0,78664
1062,30.318975,-97.980859,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78738
1063,30.226796000000004,-97.91664499999999,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78749
1064,30.540394,-97.845264,Block House Creek Elementary School,"401 Creek Run Drive, Leander, TX  78641",7.0,78641
1067,30.33313,-97.921477,River Ridge Elementary School,"12900 Tierra Grande Trail, Austin, TX  78732",10.0,78738
1069,30.264924,-98.017489,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78738
1070,30.353990999999997,-97.848253,River Place Elementary School,"6500 Sitio Del Rio Boulevard, Austin, TX  78730",8.0,78750
1071,30.19039,-97.92524300000001,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8.0,78749
1072,30.238846999999996,-97.73288199999999,Linder Elementary School,"2800 Metcalfe Road, Austin, TX  78741",3.0,78704
1074,30.142893,-97.7868,Blazier Elementary School,"8601 Nuckols Crossing Road, Austin, TX  78744",7.0,78748
1075,30.429681,-97.789274,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX  78759",10.0,78750
1076,30.456051000000002,-97.821431,Purple Sage Elementary School,"11801 Tanglebriar Trail, Austin, TX  78750",6.0,78750
1077,30.197226,-97.901443,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78749
1078,30.220978000000002,-97.72846700000001,Linder Elementary School,"2800 Metcalfe Road, Austin, TX  78741",3.0,78704
1079,30.207263,-97.808835,Cunningham Elementary School,"2200 Berkeley Avenue, Austin, TX  78745",2.0,78745
1081,30.362447999999997,-97.772467,Doss Elementary School,"7005 Northledge Drive, Austin, TX  78731",9.0,78759
1083,30.507049,-97.83654399999999,Westside Elementary School,"300 Ryan Jordan Lane, Cedar Park, TX  78613",8.0,78641
1085,30.317857,-97.693191,Harris Elementary School,"1711 Wheless Lane, Austin, TX  78723",4.0,78752
1086,30.087008,-97.695545,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78748
1087,30.206286,-97.795307,Odom Elementary School,"1010 Turtle Creek Boulevard, Austin, TX  78745",6.0,78745
